 Mortalidade - Brasil
Óbitos p/Residênc por Macrorregião de Saúde e Ano do Óbito
Categoria CID-10: C47   Neopl malig nervos perif e sist nerv autonom, C48   Neopl malig tec moles retro- e peritonio, C49   Neopl malig tec conjuntivo e outr tec moles, C50   Neopl malig da mama, C51   Neopl malig da vulva, C52   Neopl malig da vagina, C53   Neopl malig do colo do utero, C54   Neopl malig do corpo do utero, C55   Neopl malig do utero porcao NE, C56   Neopl malig do ovario, C57   Neopl malig outr org genitais femin e NE, C58   Neopl malig da placenta, C60   Neopl malig do penis, C61   Neopl malig da prostata, C62   Neopl malig dos testiculos, C63   Neopl malig outr org genit masc e NE, C64   Neopl malig do rim exceto pelve renal, C65   Neopl malig da pelve renal, C66   Neopl malig dos ureteres, C67   Neopl malig da bexiga, C68   Neopl malig de outr orgaos urinarios e NE, C69   Neopl malig do olho e anexos, C70   Neopl malig das meninges, C71   Neopl malig do encefalo, C72   Neop mal med esp nerv cran out sist nerv cen, C73   Neopl malig da gland tireoide, C74   Neopl malig da gland supra-renal, C75   Neopl malig outr gland endocrinas estr relac, C76   Neopl malig outr localiz e mal definidas, C77   Neopl malig secund e NE gangl linfaticos, C78   Neopl malig secund org respirat e digestivos, C79   Neopl malig secund de outr localiz, C80   Neopl malig s/especificacao de localiz
Faixa Etária: Menor 1 ano
Período:1996-2020
"Macrorregião de Saúde";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"1101 MACRORREGIONAL II (CACOAL)";-;1;-;1;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;6
"1102 MACRORREGIAO I - PORTO VELHO";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;1;7
"1201 MACRO UNICA - AC";-;2;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;1;-;2;-;1;1;11
"1302 OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"1303 LESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;3
"1304 CENTRAL";-;-;-;2;-;2;-;-;1;3;2;1;1;-;-;-;-;-;-;-;2;1;2;-;2;19
"1401 MACRO-RORAIMA";-;1;1;-;-;-;1;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;8
"1509 MACRORREGIONAL IV";-;-;1;-;-;-;1;-;1;-;1;-;-;1;-;1;2;2;1;-;1;1;1;2;-;16
"1510 MACRORREGIONAL III";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;4
"1511 MACRORREGIONAL II";-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;1;-;2;1;2;1;12
"1512 MACRORREGIONAL I";1;1;-;-;1;-;-;1;-;-;1;1;1;-;-;1;3;-;1;-;2;1;-;1;1;17
"1601 MACRO UNICA - AP";1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;-;3;-;12
"1701 MACRORREGIAO NORTE";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;-;1;2;7
"1702 MACRORREGIAO CENTRO-SUL";-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;1;3;-;1;1;-;-;-;11
"2109 MACRORREGIAO SUL";-;-;-;-;-;-;1;-;1;-;2;-;1;2;-;1;1;1;-;-;1;2;1;-;-;14
"2110 MACRORREGIAO NORTE";-;1;1;1;1;1;1;2;1;2;-;3;1;2;-;1;-;2;3;2;1;-;-;1;2;29
"2111 MACRORREGIAO LESTE";-;-;-;-;1;1;1;-;1;2;1;-;-;2;-;1;1;1;2;1;-;-;-;2;-;17
"2207 SEMI-ARIDO";-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;5
"2208 MEIO NORTE";-;-;-;-;-;2;-;2;-;-;-;1;1;1;-;1;-;-;2;-;-;-;-;-;1;11
